Frequency,Z_real,Z_imag
0,5794.684382025449,5.934358385892474
250,2747.18958673298,-2510.565802850043
500,1467.8088387895696,-1876.908432083852
750,1062.9176226800664,-1477.4983359563903
1000,881.994229460725,-1234.3240263405994
1250,778.2366768512917,-1103.530429660072
1500,681.9459120151658,-998.5389254667672
1750,606.7772324054866,-939.4869782484938
2000,536.0410039340585,-884.6380485310084
2250,497.9355938217823,-859.7085607393105
2500,440.7946047131594,-786.0340410640924
2750,384.6851425898394,-756.7046086549728
3000,335.3037774985629,-731.5326402674308
3250,301.8988165850414,-691.9589216684068
3500,285.123403058802,-658.0925633871872
3750,272.38519498693364,-649.3990294357366
4000,229.4478642697867,-612.6956093935833
4250,208.75742666143756,-605.7433516704136
4500,200.93246046676762,-541.7338592218836
4750,177.6045535956084,-537.2449956790141
5000,173.18727248064184,-528.8698556340792
5250,150.04151032629562,-509.70406226719035
5500,165.1630348012425,-493.28794611371524
5750,132.47708527547542,-478.3982222875242
6000,130.50993283229207,-439.17316871208203
6250,124.66754570655208,-445.01713535919157
6500,102.93975914820166,-427.10774513223083
6750,119.14493225371443,-413.7258097843987
7000,93.25136168779646,-400.2573203002436
7250,91.3695574956478,-373.43343678698807
7500,86.22223396568918,-380.12141364963657
7750,85.531973167465,-368.2949622110093
8000,60.937948870813194,-344.2289028198505
8250,53.68163009984111,-353.7637334777648
8500,66.47310710493703,-322.41000332381645
8750,56.93397503420412,-322.4464848398027
9000,61.948402621237676,-318.7862686164094
9250,82.4533944285543,-331.43498886958594
9500,48.576395190789384,-296.9150548789701
9750,48.871476893036295,-307.22875998299304
10000,62.31811465027408,-304.2304403596017
10250,54.43304204259711,-276.1808364229601
10500,52.84966992083368,-269.90750772017464
10750,54.53771493605216,-264.17218843960484
11000,43.67726133995133,-258.7688528845029
11250,24.935273701402963,-271.64125223991493
11500,20.231789093607894,-256.92434610543137
11750,43.50988099767216,-261.73870960841776
12000,16.927181773562022,-240.260104685447
12250,32.7167890676569,-248.30854526225048
12500,35.64089651904745,-238.21286963046344
