Frequency,Z_real,Z_imag
0,741.9514039900901,0.0
250,573.9755603686963,-245.5478595325276
500,411.2732631963826,-255.47869551535152
750,333.02036142695505,-229.0620322213316
1000,290.0976597553983,-207.82002392782698
1250,261.3623767021828,-192.89584546262637
1500,239.38476432494937,-181.90895245025808
1750,221.0000401346539,-172.92198545062902
2000,205.17657175106285,-165.02075415266148
2250,191.49666275938264,-157.6113030387627
2500,179.5561800275099,-150.45350809414245
2750,169.0638464183982,-143.53169238168294
3000,159.90332771130525,-136.83181606789128
3250,151.79014520580728,-130.2405260916253
3500,144.66182246883304,-124.04291873123022
3750,138.4532618983341,-118.0020037953361
4000,132.9566238966398,-112.10045388023134
4250,128.10963851219444,-106.64655878532174
4500,123.75742835795111,-101.27653831521349
4750,119.64269436888364,-96.2467585650383
5000,116.3655999760615,-91.31883094956284
5250,113.42237078526573,-86.64828364935177
5500,110.64174277361431,-82.17475046582658
5750,108.20592157310327,-77.8812322200169
6000,105.97280910920287,-73.80434416254796
6250,104.05233450933639,-69.91697233098297
6500,102.2120167047303,-66.10634573665277
6750,100.58968159289765,-62.44775170160854
7000,99.20219493983892,-59.06360760991125
7250,97.81443744336703,-55.5493864159189
7500,96.60805983184095,-52.26144923435556
7750,95.518704355662,-49.10880676749412
8000,94.5337796940411,-46.016863976320806
8250,93.66329976451793,-43.01754975060551
8500,92.76364461118459,-40.10077831032957
8750,91.95497750355068,-37.28605387214037
9000,91.49024762052018,-34.52605213755184
9250,90.8128359835409,-31.83245540649335
9500,90.28226763674583,-29.15412784497282
9750,89.89423359593339,-26.586279714846814
10000,89.47470134850337,-24.06074096476918
10250,89.06062540940388,-21.51707746605904
10500,88.74860005963713,-18.9999626302826
10750,88.45866243702793,-16.627283160831187
11000,88.1332625508583,-14.140499040986299
11250,87.95060993800507,-11.777582818170082
11500,87.76895369551566,-9.423185193449541
11750,87.66455393128287,-6.99769066470007
12000,87.56803413353485,-4.624480472928593
12250,87.54255101545841,-2.3361481776082584
12500,84.57249070539038,1.630862280046508e-08
