Frequency,Z_real,Z_imag
0,1490.8323261558273,10.005813350462226
250,1450.225951206951,-262.5575693395539
500,1321.9084118169885,-507.68754419043296
750,1137.0663703188213,-654.2194149295716
1000,963.2652699961135,-729.7127782151148
1250,794.4224567454611,-763.3412785332977
1500,664.6056003891308,-765.6577864484844
1750,563.8969465810169,-719.7083651404818
2000,479.18472442701045,-691.5290356287869
2250,398.1482130221621,-652.9744637906942
2500,345.1430663790401,-619.3305226635722
2750,285.89686736094745,-593.5547895877615
3000,247.0713128450437,-554.1240651289858
3250,224.09633173841937,-521.3534737333673
3500,169.754107155802,-503.7629273193924
3750,171.56575537828806,-445.8701084674598
4000,137.55821134177623,-463.31517531107215
4250,125.48974029323028,-429.3929966821335
4500,118.27194179524042,-414.83586594762727
4750,105.19624148100704,-392.8079147899829
5000,107.66313150030619,-374.9822874777793
5250,82.4819289065702,-349.96381060895555
5500,87.22165078025226,-331.35204095925934
5750,60.8460056575254,-323.7505856765574
6000,55.721772676783324,-345.33270597749146
6250,63.74868404688493,-307.45483645630736
6500,61.00738424479239,-302.69207585648485
6750,73.75256519652514,-287.5520236734275
7000,49.94190998163062,-283.84654345447035
7250,50.14649154029224,-271.6992170656619
7500,44.90087050435599,-271.3189108890369
7750,45.717295706426455,-242.26586809466593
8000,33.27464027836464,-246.52706787177485
8250,21.33438292324143,-217.67920502883737
8500,57.40348562394807,-225.59800274703719
8750,43.40372333251331,-220.36143168016991
9000,19.03909997440161,-212.44614342912368
9250,33.90983226323597,-216.86440671398736
9500,37.406812276001084,-214.7992542833406
9750,5.214720192194509,-182.81138163461512
10000,14.995468520118454,-178.10110621319137
10250,34.62714444709297,-194.23133316332056
10500,18.411524713360677,-181.83849082145912
10750,22.486849469135212,-172.3747253433547
11000,32.93497544716985,-185.4919153699663
11250,20.387517002232652,-188.5911353882591
11500,15.392180636993636,-169.0457640923365
11750,20.06872637808158,-160.13571948592224
12000,6.019272258368797,-144.62877910739715
12250,5.2202679424967435,-151.04919436501896
12500,18.28163069743966,-152.51189033228636
