Frequency,Z_real,Z_imag
0,12190.889352627071,-14.773215817005319
250,2347.637949979346,-1706.403517379831
500,1614.3216717287082,-1410.43068039034
750,1261.271360204232,-1296.1268925067466
1000,1052.1570109364288,-1217.4388359331867
1250,839.4683227300909,-1140.1754312615149
1500,691.399208206745,-1098.373658798612
1750,586.0350157627626,-1009.5264396627475
2000,491.6551039964748,-942.9460673171244
2250,411.5329509431583,-876.2882511411837
2500,356.59890924772867,-827.450232859458
2750,317.0594444409071,-759.2200769149456
3000,251.3556021617599,-709.7499985119096
3250,222.53829510503184,-681.3244178744521
3500,190.2957007058954,-645.2536579122534
3750,156.1069424463154,-613.2241450710495
4000,149.1346451923951,-564.621968228247
4250,135.77249317851977,-544.2377545302069
4500,124.1779531322709,-526.2467643593577
4750,107.16448374046495,-496.7130873647045
5000,94.04087126287908,-476.5463610744384
5250,108.64563529696309,-443.6806007974521
5500,95.41081153159075,-424.7169960338361
5750,76.87198910574543,-397.7153238904913
6000,76.51842059730531,-394.33988449492625
6250,79.8985131843333,-383.58474083566335
6500,58.15292733620146,-367.8049209139818
6750,48.80468589629931,-372.673841305071
7000,56.564470560943626,-341.13414894414683
7250,52.65365500178156,-337.59295445257237
7500,32.86654505921631,-326.7078345804391
7750,57.54148310648718,-315.494935171781
8000,45.953340939618954,-321.37669052487655
8250,52.761453768688064,-293.8246495376487
8500,29.34938414970323,-289.75656288487045
8750,31.317593820939223,-274.8741802043162
9000,40.88336067410981,-282.45015628474437
9250,28.2755431957545,-275.5314985007557
9500,22.470916347362646,-268.1669179905944
9750,4.585553634500798,-267.62858056118023
10000,27.097726381411018,-242.86717233620695
10250,20.88725505909844,-241.74782214941803
10500,22.03794594268161,-231.44286330109733
10750,22.307801261881995,-224.2322892477964
11000,21.826125294123823,-212.35543111742075
11250,29.30889768052657,-211.51963853674675
11500,26.05804640744634,-230.1165081721507
11750,11.271877058707053,-204.38045234837642
12000,5.753162391681403,-213.11305425800236
12250,35.26870360801018,-205.10191316569995
12500,8.077641484173718,-193.22693283298443
